"IOC"-"Created"-"Modified"-"first seen"-"last_seen"-"descrip"-"IsIoc"-"IsActive"-"Tags"-"Industries"-"Bool"-"Dict"-"E-mail"-"INN"-"Int"-"Link"-"Luma"-"Mult"-"Reg"-"Str"-"Time"
"12.133.46.22"-"2009 06 04 22:10:00"-"2009 06 04 22:20:00"-"2009 06 04 22:30:00"-"2009 06 04 22:40:00"-"is simple ioc"-"false"-"true"-"HASH"-"culture"-"true"-"1"-"campaig@test.ru"-"827898418824"-"132"-"https://old.reactor.cc/all"-"5062821234567892"-"First line.\n Second line."-"12.133.46.01"-"My string 12"-"26-08-2024"
"2001:4860:4860::8888"-"2009 06 04 22:10:00"-"2009 06 04 22:20:00"-"2009 06 04 22:30:00"-"2009 06 04 22:40:00"-"is simple ioc"-"false"-"true"-"HASH"-"culture"-"false"-"2"-"campaig@test.ru"-"827898418824"-"132"-"https://old.reactor.cc/all"-"5062821234567892"-"First line.\n Second line."-"12.133.46.02"-"My string 12"-"26-08-2024"
"poehal.com"-"2009 06 04 22:10:00"-"2009 06 04 22:20:00"-"2009 06 04 22:30:00"-"2009 06 04 22:40:00"-"is simple ioc"-"false"-"true"-"HASH"-"culture"-"true"-"1"-"campaig@test.ru"-"827898418824"-"132"-"https://old.reactor.cc/all"-"5062821234567892"-"First line.\n Second line."-"12.133.46.03"-"My string 12"-"26-08-2024"
"http://sobaka.ovcharka/file/kak"-"2009 06 04 22:10:00"-"2009 06 04 22:20:00"-"2009 06 04 22:30:00"-"2009 06 04 22:40:00"-"is simple ioc"-"false"-"true"-"HASH"-"culture"-"false"-"2"-"campaig@test.ru"-"827898418824"-"132"-"https://old.reactor.cc/all"-"5062821234567892"-"First line.\n Second line."-"12.133.46.04"-"My string 12"-"26-08-2024"
"4c6ddceb3ee9621a7caec2f95e048e95"-"2009 06 04 22:10:00"-"2009 06 04 22:20:00"-"2009 06 04 22:30:00"-"2009 06 04 22:40:00"-"is simple ioc"-"false"-"true"-"HASH"-"culture"-"true"-"1"-"campaig@test.ru"-"827898418824"-"132"-"https://old.reactor.cc/all"-"5062821234567892"-"First line.\n Second line."-"12.133.46.05"-"My string 12"-"26-08-2024"
"e96904bbd8e65e74ac101419be46f9f6f47b0f67"-"2009 06 04 22:10:00"-"2009 06 04 22:20:00"-"2009 06 04 22:30:00"-"2009 06 04 22:40:00"-"is simple ioc"-"false"-"false"-"HASH"-"culture"-"false"-"2"-"campaig@test.ru"-"827898418824"-"132"-"https://old.reactor.cc/all"-"5062821234567892"-"First line.\n Second line."-"12.133.46.06"-"My string 12"-"26-08-2024"
"50e16c82dc61635f0444293cd18724fd874ae9a3d8f563be55d1fcd283a2986a"-"2009 06 04 22:10:00"-"2009 06 04 22:20:00"-"2009 06 04 22:30:00"-"2009 06 04 22:40:00"-"is simple ioc"-"false"-"false"-"HASH"-"culture"-"true"-"1"-"campaig@test.ru"-"827898418824"-"132"-"https://old.reactor.cc/all"-"5062821234567892"-"First line.\n Second line."-"12.133.46.07"-"My string 12"-"26-08-2024"
"agent007"-"2009 06 04 22:10:00"-"2009 06 04 22:20:00"-"2009 06 04 22:30:00"-"2009 06 04 22:40:00"-"is simple ioc"-"false"-"false"-"HASH"-"culture"-"false"-"2"-"campaig@test.ru"-"827898418824"-"132"-"https://old.reactor.cc/all"-"5062821234567892"-"First line.\n Second line."-"12.133.46.08"-"My string 12"-"26-08-2024"
"doc.txt"-"2009 06 04 22:10:00"-"2009 06 04 22:20:00"-"2009 06 04 22:30:00"-"2009 06 04 22:40:00"-"is simple ioc"-"false"-"false"-"HASH"-"culture"-"true"-"1"-"campaig@test.ru"-"827898418824"-"132"-"https://old.reactor.cc/all"-"5062821234567892"-"First line.\n Second line."-"12.133.46.09"-"My string 12"-"26-08-2024"
"4700569932437589"-"2009 06 04 22:10:00"-"2009 06 04 22:20:00"-"2009 06 04 22:30:00"-"2009 06 04 22:40:00"-"is simple ioc"-"false"-"false"-"HASH"-"culture"-"false"-"2"-"campaig@test.ru"-"827898418824"-"132"-"https://old.reactor.cc/all"-"5062821234567892"-"First line.\n Second line."-"12.133.46.10"-"My string 12"-"26-08-2024"
"123.456.23.3"-"2009 06 04 22:10:00"-"2009 06 04 22:20:00"-"2009 06 04 22:30:00"-"2009 06 04 22:40:00"-"is simple ioc"-"true"-"false"-"HASH"-"culture"-"true"-"1"-"campaig@test.ru"-"827898418824"-"132"-"https://old.reactor.cc/all"-"5062821234567892"-"First line.\n Second line."-"12.133.46.11"-"My string 12"-"26-08-2024"
"sobaka@ovcharka.com"-"2009 06 04 22:10:00"-"2009 06 04 22:20:00"-"2009 06 04 22:30:00"-"2009 06 04 22:40:00"-"is simple ioc"-"false"-"false"-"HASH"-"culture"-"false"-"2"-"campaig@test.ru"-"827898418824"-"132"-"https://old.reactor.cc/all"-"5062821234567892"-"First line.\n Second line."-"12.133.46.12"-"My string 12"-"26-08-2024"
"xn--e1aybc.xn--p1ai"-"2009 06 04 22:10:00"-"2009 06 04 22:20:00"-"2009 06 04 22:30:00"-"2009 06 04 22:40:00"-"is simple ioc"-"true"-"true"-"HASH"-"culture"-""-""-""-""-""-""-""-""-""-""-""
